"code","name","formal_name","code_table_item_id_i2","code_table_item_id_i3","code_table_item_id_i1","code_table_item_id_i4","code_table_item_id_i5","code_table_item_id_i6"
"111000110",初診料,初診料,1,1,A,0,0,1
"111000370",乳幼児加算（初診）,乳幼児加算（初診）,1,1,A,0,0,5
"111000470",乳幼児育児栄養指導料,乳幼児育児栄養指導料,2,1,B,1,2,6
"111000570",時間外加算（初診）,時間外加算（初診）,1,1,A,0,0,6
"111000670",休日加算（初診）,休日加算（初診）,1,1,A,0,0,6
"111000770",深夜加算（初診）,深夜加算（初診）,1,1,A,0,0,6
"111000870",時間外特例医療機関加算（初診）,時間外特例医療機関加算（初診）,1,1,A,0,0,6
"111010770",乳幼児時間外特例医療機関加算（初診）（小児科外来診療料）,乳幼児時間外特例医療機関加算（初診）（小児科外来診療料）,2,1,B,1,2,3
"111011570",乳幼児夜間加算（小児科初診）,乳幼児夜間加算（小児科初診）,1,1,A,0,0,7
"111011670",乳幼児休日加算（小児科初診）,乳幼児休日加算（小児科初診）,1,1,A,0,0,7
"111011770",乳幼児深夜加算（小児科初診）,乳幼児深夜加算（小児科初診）,1,1,A,0,0,7
"111011810",初診料（同一日複数科受診時の２科目）,初診料（同一日複数科受診時の２科目の場合）（複初）,1,1,A,0,0,4
"111011970",乳幼児時間外加算（初診）,乳幼児時間外加算（初診）,1,1,A,0,0,6
"111012070",乳幼児休日加算（初診）,乳幼児休日加算（初診）,1,1,A,0,0,6
"111012170",乳幼児深夜加算（初診）,乳幼児深夜加算（初診）,1,1,A,0,0,6
"111012270",乳幼児時間外特例医療機関加算（初診）,乳幼児時間外特例医療機関加算（初診）,1,1,A,0,0,6
"111012470",夜間・早朝等加算（初診）,夜間・早朝等加算（初診）,1,1,A,0,0,8
"111012510",初診料（文書による紹介がない患者）,初診料（文書による紹介がない患者の場合）（初減）,1,1,A,0,0,2
"111012610",初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,初診料（同一日複数科受診時の２科目・文書による紹介がない患者の場合）（複初減）,1,1,A,0,0,4
"111012710",特定妥結率初診料,特定妥結率初診料,1,1,A,0,0,3
"111012810",特定妥結率初診料（同一日複数科受診時の２科目）,特定妥結率初診料（同一日複数科受診時の２科目）,1,1,A,0,0,4
"111013770",機能強化加算（初診）,機能強化加算（初診）,1,1,A,0,0,11
"111013850",初診料（新型コロナウイルス感染症・診療報酬上臨時的取扱）,初診料（新型コロナウイルス感染症に係る診療報酬上の臨時的な取扱い）,1,1,A,0,0,3
"111013970",乳幼児感染予防策加算（初診料・診療報酬上臨時的取扱）,乳幼児感染予防策加算（初診料・診療報酬上臨時的取扱）,1,1,A,999,0,0
"111014070",医科外来等感染症対策実施加算（初診料）,医科外来等感染症対策実施加算（初診料）,1,1,A,999,0,0
"111014170",二類感染症患者入院診療加算（電話等初診料・診療報酬上臨時的取扱）,二類感染症患者入院診療加算（１日につき）（電話等を用いた初診料）（新型コロナウイルス感染症・診療報酬上の臨時的な取扱い）,1,2,A,210,0,2
"112000970",乳幼児加算（再診）,乳幼児加算（再診）,1,1,A,1,0,3
"112001110",時間外加算（再診）（入院外）,時間外加算（再診）（入院外）,1,1,A,1,0,4
"112001210",休日加算（再診）（入院外）,休日加算（再診）（入院外）,1,1,A,1,0,4
"112001310",深夜加算（再診）（入院外）,深夜加算（再診）（入院外）,1,1,A,1,0,4
