c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
0,1,1,A000,1,111000110,,初診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,10000
0,1,1,A000,1,111000110,,初診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,20000
0,1,1,A000,1,111000110,,初診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,30000
0,1,1,A000,1,111012510,,初診料（文書による紹介がない患者）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,40000
0,1,1,A000,1,111012510,,初診料（文書による紹介がない患者）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,50000
0,1,1,A000,1,111012510,,初診料（文書による紹介がない患者）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,60000
0,1,1,A000,1,111012710,,特定妥結率初診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,70000
0,1,1,A000,1,111012710,,特定妥結率初診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,80000
0,1,1,A000,1,111012710,,特定妥結率初診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,90000
0,1,1,A000,1,111011810,,初診料（同一日複数科受診時の２科目）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,100000
0,1,1,A000,1,111011810,,初診料（同一日複数科受診時の２科目）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,110000
0,1,1,A000,1,111011810,,初診料（同一日複数科受診時の２科目）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,120000
0,1,1,A000,1,111012610,,初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,130000
0,1,1,A000,1,111012610,,初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,140000
0,1,1,A000,1,111012610,,初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,150000
0,1,1,A000,1,111012810,,特定妥結率初診料（同一日複数科受診時の２科目）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,160000
0,1,1,A000,1,111012810,,特定妥結率初診料（同一日複数科受診時の２科目）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,170000
0,1,1,A000,1,111012810,,特定妥結率初診料（同一日複数科受診時の２科目）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,180000
0,1,1,A000,2,111011810,,初診料（同一日複数科受診時の２科目）,830100002,,２つ目の診療科（初診料）；,20201001,99999999,1,0,0,0,190000
0,1,1,A000,2,111012610,,初診料（同一日複数科受診時の２科目・文書による紹介がない患者）,830100002,,２つ目の診療科（初診料）；,20201001,99999999,1,0,0,0,200000
0,1,1,A000,2,111012810,,特定妥結率初診料（同一日複数科受診時の２科目）,830100002,,２つ目の診療科（初診料）；,20201001,99999999,1,0,0,0,210000
0,1,2,A001,1,112007410,,再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,220000
0,1,2,A001,1,112007410,,再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,230000
0,1,2,A001,1,112007410,,再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,240000
0,1,2,A001,1,112007950,,電話等再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,250000
0,1,2,A001,1,112007950,,電話等再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,260000
0,1,2,A001,1,112007950,,電話等再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,270000
0,1,2,A001,1,112023350,,電話等再診料（３０年３月以前継続）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,280000
0,1,2,A001,1,112023350,,電話等再診料（３０年３月以前継続）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,290000
0,1,2,A001,1,112023350,,電話等再診料（３０年３月以前継続）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,300000
0,1,2,A001,1,112008350,,同日再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,310000
0,1,2,A001,1,112008350,,同日再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,320000
0,1,2,A001,1,112008350,,同日再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,330000
0,1,2,A001,1,112008850,,同日電話等再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,340000
0,1,2,A001,1,112008850,,同日電話等再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,350000
0,1,2,A001,1,112008850,,同日電話等再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,360000
0,1,2,A001,1,112023450,,同日電話等再診料（３０年３月以前継続）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,370000
0,1,2,A001,1,112023450,,同日電話等再診料（３０年３月以前継続）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,380000
0,1,2,A001,1,112023450,,同日電話等再診料（３０年３月以前継続）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,390000
0,1,2,A001,1,112016610,,特定妥結率再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,400000
0,1,2,A001,1,112016610,,特定妥結率再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,410000
0,1,2,A001,1,112016610,,特定妥結率再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,420000
0,1,2,A001,1,112016750,,電話等特定妥結率再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,430000
0,1,2,A001,1,112016750,,電話等特定妥結率再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,440000
0,1,2,A001,1,112016750,,電話等特定妥結率再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,450000
0,1,2,A001,1,112023650,,電話等特定妥結率再診料（３０年３月以前継続）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,460000
0,1,2,A001,1,112023650,,電話等特定妥結率再診料（３０年３月以前継続）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,470000
0,1,2,A001,1,112023650,,電話等特定妥結率再診料（３０年３月以前継続）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,480000
0,1,2,A001,1,112016850,,同日特定妥結率再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,490000
0,1,2,A001,1,112016850,,同日特定妥結率再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,500000
0,1,2,A001,1,112016850,,同日特定妥結率再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,510000
0,1,2,A001,1,112016950,,同日電話等特定妥結率再診料,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,520000
0,1,2,A001,1,112016950,,同日電話等特定妥結率再診料,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,530000
0,1,2,A001,1,112016950,,同日電話等特定妥結率再診料,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,540000
0,1,2,A001,1,112023750,,同日電話等特定妥結率再診料（３０年３月以前継続）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,550000
0,1,2,A001,1,112023750,,同日電話等特定妥結率再診料（３０年３月以前継続）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,560000
0,1,2,A001,1,112023750,,同日電話等特定妥結率再診料（３０年３月以前継続）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,570000
0,1,2,A001,1,112015810,,再診料（同一日複数科受診時の２科目）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,580000
0,1,2,A001,1,112015810,,再診料（同一日複数科受診時の２科目）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,590000
0,1,2,A001,1,112015810,,再診料（同一日複数科受診時の２科目）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,600000
0,1,2,A001,1,112017010,,特定妥結率再診料（同一日複数科受診時の２科目）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,610000
0,1,2,A001,1,112017010,,特定妥結率再診料（同一日複数科受診時の２科目）,820100002,,イ　往診等の後に薬剤のみを取りに来院,20200401,99999999,0,1,0,0,620000
0,1,2,A001,1,112017010,,特定妥結率再診料（同一日複数科受診時の２科目）,820100003,,ウ　一旦帰宅し、後刻又は後日検査、画像診断、手術等を受けに来院,20200401,99999999,0,1,0,0,630000
0,1,2,A001,1,112015950,,電話等再診料（同一日複数科受診時の２科目）,820100001,,ア　初診又は再診時に行った検査、画像診断の結果のみを聞きに来院,20200401,99999999,0,1,0,0,640000
